Model,Model A R² (Mean),Model A R² (Std),Model B R² (Mean),Model B R² (Std),Improvement (%),Model A RMSE,Model B RMSE
Linear Regression,-0.050677948377427985,0.2066018219855506,-0.29020871965975187,0.2822257558517781,0,6.580439748023068,7.192118317867053
Ridge,-0.04938937673903061,0.20369014549092684,-0.2744683140048009,0.27297352422154386,0,6.577551489142339,7.155426188277973
Random Forest,-0.2014431333818733,0.19664545160775138,-0.2971759321566533,0.4643832905386036,0,7.040445633103488,7.154791144277941
